name,01/01/2000,01/01/2001,01/01/2002,01/01/2003,01/01/2004,01/01/2005,01/01/2006,01/01/2007,01/01/2008,01/01/2009,01/01/2010,01/01/2011,01/01/2012,01/01/2013,01/01/2014,01/01/2015,01/01/2016,01/01/2017,01/01/2018,01/01/2019,01/01/2020
Lilac Time,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
The Patsy,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,2,2
Applause,23,23,21,19,21,21,20,26,26,100,43,23,19,19,17,15,16,13,14,15,14
isPartial,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
Daigaku wa detakeredo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chasing Rainbows,45,49,36,43,38,35,35,39,39,100,72,46,42,37,33,41,35,29,24,36,35
The Silent Enemy,12,6,8,6,6,7,6,6,7,7,6,5,5,5,4,4,6,5,6,6,8
isPartial.1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
Au bonheur des dames,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dixiana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mary,100,85,82,70,66,66,62,65,60,65,67,66,60,60,63,60,57,56,50,51,53
isPartial.2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
Party Girl,7,9,8,8,9,9,11,11,11,11,13,13,12,11,9,9,9,8,8,8,8
Remote Control,100,82,69,58,53,48,45,41,39,38,38,38,35,36,36,35,38,35,35,32,29
Big Business Girl,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
isPartial.3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
Illicit,59,61,73,73,77,82,82,70,70,73,70,71,73,72,70,68,76,70,85,100,98
Seas Beneath,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Secret Six,2,2,1,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2
isPartial.4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
The Sleeping Cardinal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tôkyô no kôrasu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bird of Paradise,77,67,60,63,59,57,57,51,54,58,55,56,55,58,64,74,90,95,90,86,100
isPartial.5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
Boudu sauvé des eaux,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cynara,4,3,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Fanny,80,70,65,62,72,91,85,74,82,78,100,77,67,70,85,75,68,74,62,58,56
isPartial.6,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
Ivan,100,40,38,36,40,39,41,41,37,38,39,38,35,36,38,37,33,33,34,33,34
Jewel Robbery,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kuhle Wampe oder: Wem gehört die Welt?,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
isPartial.7,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
The Lost Squadron,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Movie Crazy,21,21,20,19,21,26,42,58,48,45,40,52,35,36,100,44,32,26,24,26,28
Number Seventeen,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2
isPartial.8,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
Rain,76,76,72,72,67,70,80,100,90,78,77,79,81,74,84,80,83,79,82,91,93
"Ride Him, Cowboy",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
This Is the Night,0,1,0,0,0,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1
isPartial.9,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
Tiger Shark,29,30,22,21,20,19,19,18,19,19,20,23,18,19,19,19,28,17,17,25,25
Union Depot,5,5,6,6,6,7,7,8,8,9,10,9,7,8,8,8,9,8,8,7,7
Baby Face,38,42,38,38,48,57,67,67,78,76,86,86,90,87,82,90,100,89,86,95,98
isPartial.10,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
Blind Adventure,83,100,70,39,36,32,49,55,57,99,94,96,79,68,55,52,71,54,68,72,86
Child of Manhattan,61,96,60,39,44,52,51,42,43,45,45,35,33,38,37,31,26,21,29,32,29
Meet the Baron,0,0,0,13,18,15,15,10,18,14,12,15,17,15,12,14,22,13,17,14,17
isPartial.11,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
Melody Cruise,36,57,55,80,100,96,66,62,48,29,24,20,12,11,10,10,10,13,21,18,27
Okraina,42,16,10,11,9,9,10,10,10,10,12,10,9,10,9,9,7,7,21,10,10
Quatorze Juillet,40,45,42,31,39,51,43,45,41,36,33,36,32,31,30,26,27,25,26,26,25
isPartial.12,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
The Song of Songs,86,85,78,75,83,94,100,96,97,92,83,89,82,76,63,57,55,45,53,48,48
Sweepings,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Blue Steel,22,22,22,22,23,23,24,25,27,32,36,42,40,35,33,31,34,33,33,34,37
isPartial.13,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
El fantasma del convento,0,0,71,50,0,34,26,33,26,31,25,28,23,31,31,27,30,19,19,27,19
Fashions of 1934,0,0,0,0,33,59,27,34,27,12,19,16,16,15,19,54,43,38,30,50,16
The Girl from Missouri,0,0,0,0,42,45,26,69,46,61,61,61,68,72,55,60,50,48,87,77,100
isPartial.14,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
Haha wo kowazuya,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I've Got Your Number,0,0,0,0,0,0,0,0,0,0,0,0,100,81,75,76,70,68,59,57,54
Journal of a Crime,86,45,33,30,28,27,31,37,33,25,27,26,28,27,23,23,26,27,37,35,45
isPartial.15,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
The Private Life of Don Juan,0,0,0,0,0,0,0,0,0,0,0,6,4,0,0,3,4,5,0,4,0
Romance in Manhattan,100,0,0,28,29,33,34,38,34,49,45,58,84,46,47,43,40,29,41,39,35
So ein Flegel,0,0,0,0,29,0,13,10,20,15,25,17,4,8,8,9,5,4,2,3,6
isPartial.16,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
Treasure Island,100,98,90,84,78,69,74,63,65,56,53,54,49,52,48,50,37,39,38,37,38
The Black Room,2,2,2,2,2,3,3,4,4,3,4,4,4,6,4,4,5,5,5,5,5
Bordertown,1,2,2,10,4,3,2,3,2,2,2,2,5,6,5,6,8,7,5,3,3
isPartial.17,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
The Casino Murder Case,0,0,0,0,0,0,0,0,0,0,2,1,1,0,2,2,0,1,1,4,2
Goin' to Town,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,3,3,2,2,1
The Mystery of the Mary Celeste,24,0,14,12,13,100,55,25,18,15,12,11,8,8,7,7,7,6,6,9,8
isPartial.18,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
No More Ladies,43,45,33,35,26,32,34,26,23,21,20,16,18,16,16,13,16,15,19,18,18
Private Worlds,67,74,72,75,96,100,92,82,74,53,49,44,42,33,30,37,38,32,30,35,38
Red Hot Tires,0,0,0,0,3,2,3,2,3,2,3,2,2,3,3,3,2,3,3,3,3
isPartial.19,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
Wings in the Dark,24,35,38,30,33,36,31,63,64,52,43,34,35,40,38,45,49,47,57,56,100
The Amazing Quest of Ernest Bliss,0,0,0,0,0,0,2,0,2,0,1,1,0,0,0,1,1,1,0,0,0
Anthony Adverse,38,29,38,23,25,29,33,29,27,22,15,19,15,22,22,14,12,10,18,14,12
isPartial.20,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
The Big Broadcast of 1937,0,0,0,0,0,0,0,0,2,0,8,11,0,0,0,1,0,0,7,0,0
"Keep Your Seats, Please!",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Meseautó,97,87,62,88,84,83,93,66,84,57,81,52,66,94,95,97,82,77,100,96,73
isPartial.21,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
Poppy,3,4,3,3,3,3,4,4,5,5,5,5,6,6,6,5,6,6,10,7,12
San Francisco,100,85,72,64,59,50,51,50,47,43,41,38,36,36,34,33,22,22,26,24,25
Seven Sinners,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
isPartial.22,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
Sitting on the Moon,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,2,2,2,2,2
Stowaway,64,61,44,46,38,33,31,25,27,26,30,29,24,22,25,31,23,100,36,33,33
That Girl from Paris,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
isPartial.23,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
Captains Courageous,39,43,37,33,30,24,22,20,23,20,20,13,13,14,19,18,18,13,13,11,17
A Day at the Races,100,71,71,63,66,58,59,65,49,46,39,38,37,33,36,41,33,29,28,25,30
The Footloose Heiress,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
isPartial.24,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
I Met Him in Paris,0,0,0,0,0,0,0,2,1,1,1,1,1,1,1,4,2,4,6,5,3
The King and the Chorus Girl,0,0,0,0,0,0,0,0,0,1,1,0,0,1,2,1,1,0,0,1,1
Smart Blonde,67,71,74,69,89,83,73,82,100,91,80,77,76,87,69,58,54,55,53,54,50
isPartial.25,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
The Spanish Earth,24,29,28,28,37,36,35,33,43,35,31,39,35,41,39,44,57,40,59,60,58
Angels with Dirty Faces,87,100,88,72,64,68,60,50,41,38,31,29,28,24,20,21,19,15,18,22,17
Boy of the Streets,6,9,8,8,10,8,8,6,6,5,5,5,5,5,5,5,6,6,8,8,8
isPartial.26,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
The Citadel,95,81,79,82,80,85,87,81,80,87,78,81,70,72,68,63,59,63,68,100,79
Judge Hardy's Children,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tarzan's Revenge,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
isPartial.27,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
There Goes My Heart,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,2,2,2,1,1,1
Three Loves Has Nancy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Too Hot to Handle,3,2,3,2,2,2,2,2,3,4,3,3,2,2,2,1,96,100,88,83,50
isPartial.28,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
White Banners,16,22,30,32,24,15,14,23,20,17,17,17,19,18,15,14,15,14,15,15,16
Andy Hardy Gets Spring Fever,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1
Beau Geste,89,92,100,69,59,68,54,53,52,48,38,43,28,35,29,31,29,25,27,30,36
isPartial.29,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
Each Dawn I Die,5,3,5,4,8,4,3,2,3,3,3,2,2,2,1,2,4,2,2,2,2
King of the Underworld,29,18,16,11,13,18,12,12,13,13,13,12,11,11,10,11,16,15,17,100,49
Miracles for Sale,6,4,3,3,3,5,4,23,8,9,7,6,9,5,7,5,5,5,4,4,3
isPartial.30,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
The Saint in London,100,79,79,73,55,60,52,49,54,52,50,47,51,54,51,48,41,37,57,62,68
The Stars Look Down,34,35,40,48,37,44,57,48,42,42,34,35,43,39,70,40,39,36,40,38,41
Susannah of the Mounties,0,0,0,5,0,3,2,3,2,5,4,4,3,4,3,3,2,2,4,5,2
isPartial.31,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
Wings of the Navy,0,0,17,0,13,15,14,12,13,14,21,14,22,11,15,14,14,10,17,18,18
Always a Bride,65,60,67,100,87,75,83,74,86,72,69,67,65,59,60,55,83,97,85,82,83
The Doctor Takes a Wife,0,0,0,0,0,0,0,8,7,10,4,6,4,9,6,10,8,9,13,14,16
isPartial.32,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
A Woman's Vengeance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Always Together,30,45,45,40,36,37,41,39,43,54,46,45,51,50,49,53,68,78,97,100,88
Angels' Alley,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
isPartial.33,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
Mexican Hayride,0,0,0,0,6,5,5,7,6,7,4,4,7,4,4,4,3,5,4,1,3
No Minor Vices,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,2,1,2,0
Portrait from Life,36,23,18,17,13,20,23,21,19,22,22,20,25,24,26,28,50,60,67,74,100
isPartial.34,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
Return of the Bad Men,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
So This Is New York,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2,2,3
Station West,54,57,55,58,58,60,66,67,71,71,77,84,84,93,97,99,64,73,95,100,92
isPartial.35,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
The Street with No Name,0,18,16,15,14,19,17,17,16,14,14,13,13,20,15,20,19,27,35,32,36
Wake of the Red Witch,27,18,13,21,31,12,11,15,12,14,10,14,8,9,11,10,8,10,9,9,10
Adam's Rib,0,0,0,0,0,0,0,0,0,0,0,0,80,92,83,84,86,100,80,84,91
isPartial.36,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
Challenge to Lassie,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,1,1,0,0,0
The Doctor and the Girl,16,22,15,14,26,33,38,57,54,65,63,64,66,63,63,59,72,76,100,85,95
"East Side, West Side",15,11,10,9,10,6,6,4,4,3,2,2,2,2,2,2,3,3,4,4,6
isPartial.37,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
Fängelse,64,55,53,60,60,60,63,57,65,66,72,74,72,77,82,95,87,84,79,80,100
My Foolish Heart,28,27,23,25,24,24,24,21,22,19,17,16,14,15,14,15,13,11,11,10,12
The Red Menace,11,12,11,9,11,12,10,9,9,7,7,8,7,6,6,5,5,4,5,5,6
isPartial.38,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
The Set-Up,77,61,53,56,50,51,53,49,45,38,34,35,37,34,31,33,48,71,86,67,66
She Wore a Yellow Ribbon,59,45,47,39,40,44,39,44,37,37,55,49,30,31,35,33,44,28,27,22,32
Streets of Laredo,85,100,84,65,64,54,64,52,44,44,47,38,32,37,52,49,50,42,30,31,64
isPartial.39,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
Take Me Out to the Ball Game,3,3,2,2,2,2,2,1,1,1,0,0,1,1,1,1,1,1,1,1,1
That Midnight Kiss,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Window,71,60,59,56,55,61,70,66,63,68,67,66,61,63,66,67,77,92,100,83,92
isPartial.40,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
The Asphalt Jungle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dallas,100,95,97,88,83,80,82,86,88,83,94,92,95,89,79,82,66,68,65,63,72
The Damned Don't Cry,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
isPartial.41,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
Fancy Pants,3,4,17,32,100,100,95,84,73,46,33,31,20,18,14,12,9,7,8,6,9
Grounds for Marriage,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1
Harriet Craig,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
isPartial.42,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
Julius Caesar,22,20,15,12,10,11,10,10,10,11,10,10,9,10,10,9,7,6,7,8,9
Let's Dance,0,0,0,0,0,0,0,0,0,0,0,0,13,9,5,7,7,7,11,11,11
Madeleine,34,35,32,100,45,37,38,40,40,46,42,40,36,38,38,51,48,39,39,45,34
isPartial.43,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
No Way Out,53,49,49,51,93,89,53,45,100,37,36,37,40,36,35,35,37,57,61,63,71
The Rocking Horse Winner,11,8,6,5,5,6,6,5,4,4,4,3,3,3,2,2,1,1,1,1,1
Summer Stock,8,8,7,6,6,6,6,6,5,5,6,6,6,7,7,7,9,10,9,8,11
isPartial.44,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
Undercover Girl,17,14,12,10,18,23,22,18,18,25,25,54,48,23,17,14,17,14,14,14,15
Your Witness,21,25,27,26,33,34,39,42,46,38,47,47,48,51,50,49,61,65,86,85,100
Adventures of Wild Bill Hickok,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
isPartial.45,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
Bullfighter and the Lady,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Casque d'or,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
The Day the Earth Stood Still,6,5,5,5,100,51,12,12,8,8,7,8,6,6,5,5,7,5,5,10,7
isPartial.46,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
Golden Girl,62,68,54,52,72,72,92,73,79,76,84,98,100,97,89,90,99,92,94,92,86
The Lady Says No,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,1,1,1,1,2
The Magic Carpet,17,20,17,14,12,15,12,9,8,8,7,7,6,7,6,6,6,5,6,6,7
isPartial.47,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
Night Into Morning,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2
Red Mountain,88,100,89,85,79,76,78,72,78,75,82,75,73,71,69,69,63,64,64,66,69
The Whip Hand,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0
isPartial.48,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
You're in the Navy Now,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Angel Face,43,47,55,53,60,69,80,94,82,77,88,100,77,62,51,46,54,50,56,51,60
Bend of the River,10,10,10,8,8,6,6,6,6,6,6,8,6,7,6,6,7,7,7,6,8
isPartial.49,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
The Happy Time,27,27,29,30,30,33,44,49,51,51,53,49,55,56,66,61,72,81,100,98,90
Hoodlum Empire,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Hour of 13,0,1,0,1,1,1,1,1,2,2,1,2,3,2,3,3,5,7,11,9,9
isPartial.50,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
Jumping Jacks,34,34,34,37,33,37,40,44,56,67,71,69,61,60,56,51,100,77,62,60,57
Karumen junjô su,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Love Is Better Than Ever,0,0,1,0,0,0,1,1,0,0,0,0,1,1,0,1,1,1,2,2,1
isPartial.51,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
Ma and Pa Kettle at the Fair,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
